name,kind,lat,lon,province/city
Khách Sạn Somerset Grand Hà Nội,hotel,21.0262404,105.8458094,Hà Nội
Khách Sạn Central Backpackers,hostel,21.0406073,105.8486956,Hà Nội
Khách Sạn Mimi,guest_house,21.020348,105.8007275,Hà Nội
Riverside,hotel,21.0338284,105.8540754,Hà Nội
Nhà Khách Nexy,hostel,21.0326122,105.8501435,Hà Nội
Hanoi Backpackers Hostel Downtown,hostel,21.036074,105.8532099,Hà Nội
Vietnam backpackers hostel,hostel,21.0295297,105.8484496,Hà Nội
Nhà nghỉ Hương Tràm,motel,21.0332336,105.821431,Hà Nội
Khách Sạn Apt Ez,hotel,21.0293318,105.8437457,Hà Nội
Smart Hotel,hotel,21.0325525,105.7898087,Hà Nội
Khách Sạn Hanoi Street,hotel,21.0292917,105.8438984,Hà Nội
Khách Sạn Camellia 4,hotel,21.0347412,105.851258,Hà Nội
Nhà Nghỉ Kirsty Place,motel,21.0583858,105.8361575,Hà Nội
Khách Sạn Box,hotel,21.0360245,105.8524028,Hà Nội
Noi Quy Nha Nghi,hotel,20.8210983,105.8831974,Hà Nội
Khách Sạn Asia Backpacker,hostel,21.0339514,105.8516392,Hà Nội
Khách Sạn Hanoi Friends Inn,hotel,21.0350153,105.8470454,Hà Nội
Gowhere Hanoi,hostel,21.0259464,105.8379641,Hà Nội
Khách Sạn Toàn Thắng,hotel,21.081243,105.905685,Hà Nội
Khách Sạn Hanoi Old Centre,hotel,21.0314694,105.850497,Hà Nội
Khách Sạn Hà Nội 123,hotel,21.0265829,105.8424048,Hà Nội
Khách Sạn B&B,hotel,21.0322584,105.8549018,Hà Nội
Xuân thu vườn,artwork,21.0581404,105.897985,Hà Nội
Khách Sạn Hanoi Old Quarter Boutique,hotel,21.0368593,105.8524202,Hà Nội
Trụ Sở Của Xứ Uỷ Bắc Kì,artwork,21.0419261,105.8449461,Hà Nội
Khách Sạn Hanoi Charm,hotel,21.032895,105.8501494,Hà Nội
Khách Sạn Madam Moon,guest_house,21.031524,105.8505913,Hà Nội
Tomodachi House,hotel,21.0295113,105.8439755,Hà Nội
Khách Sạn Lele & Frog,hotel,21.0297333,105.844296,Hà Nội
Old Quarter View Hanoi Hostel,hostel,21.0346395,105.8509525,Hà Nội
Chợ Đêm Hàng Đào – Đồng Xuân,attraction,21.0335078,105.8509571,Hà Nội
Khách Sạn Luxury Backpacker,hostel,21.0293883,105.8481465,Hà Nội
Bảo tàng Địa chất Việt Nam,museum,21.0235524,105.8587723,Hà Nội
Nhà Lâm,hostel,21.0612905,105.8638221,Hà Nội
nhà cô Hường,hostel,21.0608539,105.8638136,Hà Nội
nhà Der,hostel,21.0631262,105.878681,Hà Nội
Khách Sạn La Siesta Trendy,hotel,21.0322779,105.8457887,Hà Nội
Khách Sạn Golden Snake,hotel,21.0292494,105.8481334,Hà Nội
Khashc Sạn Fantasea,hotel,21.032621,105.8466932,Hà Nội
Khach Sạn Sao Băng,hotel,21.0028522,105.8667059,Hà Nội
CTY TNHH NUTRECO,artwork,21.1053309,105.9984235,Hà Nội
Khách Sạn Hà Đông,hotel,20.9658636,105.7660238,Hà Nội
Nhà Nghỉ Trường Thuỷ,motel,20.969328,105.7671748,Hà Nội
CÔNG TY TNHH VẬN TẢI &DU LỊCH SÁU VŨ 0989.930.930,artwork,20.9470944,105.9254889,Hà Nội
Pod hotel Hanoi,hotel,21.0371003,105.8511156,Hà Nội
Khách sạn Bình Minh,hotel,21.0260095,105.8160956,Hà Nội
Khách Sạn Green Street,hotel,21.0356102,105.8533151,Hà Nội
Khách Sạn Hanoi Heart,hotel,21.0327685,105.8504022,Hà Nội
Chợ Đêm,attraction,21.0332192,105.8523763,Hà Nội
nhà nghỉ thanh bình,motel,20.9930955,105.8291215,Hà Nội
Thanh Binh Hotel,hotel,21.0328004,105.8514379,Hà Nội
Khách Sạn Emerald Waters & Spa,hotel,21.0349625,105.8503869,Hà Nội
Nhà trọ bác Hoà,hostel,20.9685224,105.7949389,Hà Nội
Nhà carot,guest_house,21.0886548,105.8006979,Hà Nội
Khách Sạn Legacy,hotel,21.0358438,105.8512432,Hà Nội
Zim's hotel,hostel,21.0349695,105.8511866,Hà Nội
Khách Sạn Hoa Trà,hotel,21.0353254,105.8493216,Hà Nội
Nha Nghi,guest_house,21.0443089,105.8727424,Hà Nội
Khách Sạn Hanoi Impressive,hotel,21.0285359,105.8482354,Hà Nội
Nhà,viewpoint,21.0515543,105.7387975,Hà Nội
Sư tử châu Phi,attraction,21.0318122,105.8080483,Hà Nội
Khỉ vàng,attraction,21.0302362,105.8070655,Hà Nội
Khỉ mốc,attraction,21.030165,105.8066066,Hà Nội
Khỉ đuôi dài,attraction,21.0302841,105.8073716,Hà Nội
Hổ Đông Dương,attraction,21.031493,105.808439,Hà Nội
Cá sấu,attraction,21.0303758,105.8084714,Hà Nội
Soft pillow hostel,hostel,21.0292555,105.8437402,Hà Nội
North Hotel №2,hostel,21.0315599,105.8478692,Hà Nội
Khách Sạn Hanoi Focus,hotel,21.0328135,105.8500162,Hà Nội
Khách Sạn Prince,hotel,21.0327666,105.8500458,Hà Nội
Đài Tưởng Niệm Vua Lê Thái Tổ,monument,21.0290553,105.8509582,Hà Nội
Nhà Khách Flipside,hostel,21.0336712,105.8473904,Hà Nội
Nhà 22 an xá,guest_house,21.0436577,105.8510948,Hà Nội
Khách Sạn Golden Holiday,hotel,21.0358209,105.8478557,Hà Nội
Khách Sạn Hanoi Fantasy,hotel,21.0324764,105.8482285,Hà Nội
Nhà Khách Hanam,guest_house,21.0426041,105.8229912,Hà Nội
Trang trại học đường Vạn An,viewpoint,20.9337281,105.8660709,Hà Nội
Ngo Tam Thuong,information,21.0314228,105.8478083,Hà Nội
Nova,hotel,21.0320494,105.8469688,Hà Nội
Khách Sạn New Airport aka New Airport Hotel,hotel,21.2050339,105.8311936,Hà Nội
Khách Sạn Airbnb,hotel,21.022611,105.8594376,Hà Nội
Khách Sạn Morning,hotel,21.0316062,105.8507332,Hà Nội
Khách Sạn Hanoi Massive,hostel,21.0295534,105.848525,Hà Nội
Khách Sạn Hanoi Old Quarter Backpackers,hostel,21.0372109,105.8508312,Hà Nội
Nhà cậu hùng,hostel,20.9822823,105.8757746,Hà Nội
Khách Sạn Amorito,hotel,21.031894,105.8540481,Hà Nội
Nghĩa trang liệt sỹ xã Xuân Canh,monument,21.1041925,105.8511001,Hà Nội
Núi Đôi,peak,21.2576705,105.8641682,Hà Nội
Tượng Thánh Gióng,memorial,21.2911289,105.8240612,Hà Nội
Bảo Tàng Hậu Cần,museum,21.0189071,105.7729992,Hà Nội
Khách Sạn Hanoi Winter,hostel,21.0376685,105.8518264,Hà Nội
Khách Sạn Dragon Hotel Airport,hotel,21.2189546,105.7833584,Hà Nội
Tượng kỷ niệm chiến thắng B52,attraction,21.0468303,105.8368305,Hà Nội
Khách Sạn Hanoi,hotel,21.0278391,105.8214573,Hà Nội
Hanoi Panda Hotel,hotel,21.0337894,105.854991,Hà Nội
Nhà Phú Ngọc,guest_house,20.9926319,105.8257517,Hà Nội
Khách Sạn Đức Hiếu,hotel,21.2191012,105.7839653,Hà Nội
TONY'S HOUSE,motel,20.9373056,105.8434657,Hà Nội
Khách Sạn Ats,hotel,21.0200525,105.8601709,Hà Nội
Tượng đài Lý Tự Trọng,memorial,21.0432148,105.8354206,Hà Nội
Khách Sạn 103,hotel,20.9652392,105.7930406,Hà Nội
Nghiêm Xá,hostel,21.1879598,105.9564104,Hà Nội
Diamond Legend Hotel,hotel,21.0370377,105.8472405,Hà Nội
Maya Boutique Hotel,hotel,21.0369127,105.852404,Hà Nội
Paradise Boutique Hotel,hotel,21.0339811,105.8524431,Hà Nội
Tượng Phật,monument,21.070294,105.80512,Hà Nội
Khách Sạn Cầu Am 1,hotel,20.9738541,105.778161,Hà Nội
Khách Sạn Hanoi Sky,hotel,21.0290494,105.843326,Hà Nội
Serene Boutique,hotel,21.0351499,105.8474121,Hà Nội
trung văn,hostel,20.9910797,105.7926402,Hà Nội
Pillow Backpacker Hostel,hostel,21.0343615,105.8521987,Hà Nội
Cửu Việt 2,castle,21.0089145,105.9373283,Hà Nội
Pillow backpacks hostel,hostel,21.0348099,105.8520355,Hà Nội
Rising Dragon Villa Hotel 43A Bat Su Street,hotel,21.034609,105.8475127,Hà Nội
Tượng đài chiến thắng Ngọc Hồi,monument,20.9245483,105.8495834,Hà Nội
Khách Sạn Hanoi Nostalgia,hotel,21.03478,105.8530341,Hà Nội
Khách Sạn Hanoi Bella Rosa,hotel,21.0321562,105.8533235,Hà Nội
SN 12G gia đình Giáo viên và Hàng Không,apartment,21.2083907,105.7895752,Hà Nội
Nhà Khách Hanoi Lucky 2,hotel,21.0365271,105.8468653,Hà Nội
Đài Tưởng Niệm Liệt Sĩ Vân Canh,memorial,21.0365162,105.7297663,Hà Nội
"ngõ 168,",apartment,20.9825917,105.8114969,Hà Nội
Khách Sạn La Paz,hotel,21.0211689,105.6400258,Hà Nội
Khác Sạn Cocoon Inn,hostel,21.0355063,105.8503886,Hà Nội
Khách Sạn My Youth,hostel,21.0349068,105.8537923,Hà Nội
Nhà Khách Dreamcatcher,hotel,21.0212785,105.8474164,Hà Nội
Khách Sạn Golden Charm,hotel,21.032931,105.8497236,Hà Nội
Khách Sạn Bodega,hotel,21.0294113,105.8457184,Hà Nội
대나무 공예마을,attraction,20.9335652,105.6503526,Hà Nội
Nhà ở,guest_house,21.0380116,105.7937978,Hà Nội
녹 칸 장보,hotel,21.0250184,105.818607,Hà Nội
Toà nhà 29T2,apartment,21.0069951,105.8024964,Hà Nội
Khách Sạn An,hotel,21.0367493,105.8521171,Hà Nội
Nova Luxury Hotel,hotel,21.0358507,105.8472106,Hà Nội
V Hostel,hostel,21.0362786,105.850354,Hà Nội
Khách Sạn BB's,hotel,21.0363629,105.8527973,Hà Nội
Tượng đài “Quyết tử để Tổ quốc quyết sinh”,memorial,21.0401678,105.8460476,Hà Nội
Khách Sạn Helios Legend,hotel,21.0333758,105.8459461,Hà Nội
Đài quan sát Lotte Skywalk,attraction,21.0322019,105.8123288,Hà Nội
Khách Sạn Hanoi Golden,hotel,21.0363074,105.8509473,Hà Nội
Khách Sạn Hanoi La Storia,hotel,21.0357127,105.847721,Hà Nội
Khách Sạn Hanoi Cristina,hotel,21.0353443,105.8541414,Hà Nội
Khách Sạn Douceur de l'aube,hotel,21.0431653,105.8441778,Hà Nội
Khách Sạn Emerald Waters & Spa,hotel,21.03147,105.8535125,Hà Nội
Khách Sạn Bedgasm,hostel,21.0279261,105.849853,Hà Nội
Khách Sạn Daisy,hostel,21.0362853,105.8478584,Hà Nội
Signature Inn,hostel,21.0359663,105.8477799,Hà Nội
Khách Sạn Inearth,hotel,21.0325773,105.7873161,Hà Nội
Khách Sạn Golden Sun Villa,hotel,21.0303268,105.8497191,Hà Nội
Khách sạn Somerset,hotel,21.0667456,105.826109,Hà Nội
Khách Sạn La Belle Vie,hotel,21.0429057,105.8439397,Hà Nội
Miếu Trung Liệt,monument,21.0118709,105.8247833,Hà Nội
Khách Sạn Ngọc Lan,hotel,21.017303,105.8264037,Hà Nội
Tượng đài Quang Trung,artwork,21.0127906,105.82398,Hà Nội
Khách Sạn Blue 29,hotel,21.0237006,105.8205593,Hà Nội
